id,text,category
1,This is a sample text for document 1,Category_E
2,This is a sample text for document 2,Category_B
3,This is a sample text for document 3,Category_D
4,This is a sample text for document 4,Category_A
5,This is a sample text for document 5,Category_F
6,This is a sample text for document 6,Category_F
7,This is a sample text for document 7,Category_B
8,This is a sample text for document 8,Category_B
9,This is a sample text for document 9,Category_C
10,This is a sample text for document 10,Category_D
11,This is a sample text for document 11,Category_G
12,This is a sample text for document 12,Category_C
13,This is a sample text for document 13,Category_E
14,This is a sample text for document 14,Category_C
15,This is a sample text for document 15,Category_C
16,This is a sample text for document 16,Category_D
17,This is a sample text for document 17,Category_D
18,This is a sample text for document 18,Category_G
19,This is a sample text for document 19,Category_D
20,This is a sample text for document 20,Category_E
21,This is a sample text for document 21,Category_C
22,This is a sample text for document 22,Category_C
23,This is a sample text for document 23,Category_F
24,This is a sample text for document 24,Category_C
25,This is a sample text for document 25,Category_G
26,This is a sample text for document 26,Category_A
27,This is a sample text for document 27,Category_C
28,This is a sample text for document 28,Category_G
29,This is a sample text for document 29,Category_D
30,This is a sample text for document 30,Category_C
31,This is a sample text for document 31,Category_D
32,This is a sample text for document 32,Category_D
33,This is a sample text for document 33,Category_G
34,This is a sample text for document 34,Category_F
35,This is a sample text for document 35,Category_F
36,This is a sample text for document 36,Category_G
37,This is a sample text for document 37,Category_E
38,This is a sample text for document 38,Category_E
39,This is a sample text for document 39,Category_E
40,This is a sample text for document 40,Category_D
41,This is a sample text for document 41,Category_C
42,This is a sample text for document 42,Category_F
43,This is a sample text for document 43,Category_F
44,This is a sample text for document 44,Category_A
45,This is a sample text for document 45,Category_A
46,This is a sample text for document 46,Category_A
47,This is a sample text for document 47,Category_G
48,This is a sample text for document 48,Category_G
49,This is a sample text for document 49,Category_G
50,This is a sample text for document 50,Category_C
51,This is a sample text for document 51,Category_G
52,This is a sample text for document 52,Category_E
53,This is a sample text for document 53,Category_D
54,This is a sample text for document 54,Category_E
55,This is a sample text for document 55,Category_D
56,This is a sample text for document 56,Category_G
57,This is a sample text for document 57,Category_A
58,This is a sample text for document 58,Category_D
59,This is a sample text for document 59,Category_E
60,This is a sample text for document 60,Category_A
61,This is a sample text for document 61,Category_E
